outer_it,inner_it,thread
0,0,1
0,1,0
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,1
0,24,1
0,25,1
0,26,1
0,27,1
0,28,1
0,29,1
0,30,1
0,31,1
0,32,1
0,33,1
0,34,1
0,35,1
0,36,1
0,37,1
0,38,1
0,39,1
0,40,1
0,41,0
0,42,1
0,43,0
0,44,1
0,45,0
0,46,1
0,47,0
0,48,1
0,49,0
1,0,1
1,1,0
1,2,1
1,3,0
1,4,1
1,5,0
1,6,1
1,7,2
1,8,0
1,9,1
1,10,2
1,11,0
1,12,1
1,13,2
1,14,0
1,15,2
1,16,1
1,17,0
1,18,2
1,19,1
1,20,0
1,21,2
1,22,1
1,23,0
1,24,2
1,25,1
1,26,2
1,27,0
1,28,1
1,29,2
1,30,0
1,31,1
1,32,2
1,33,1
1,34,0
1,35,2
1,36,1
1,37,0
1,38,2
1,39,1
1,40,0
1,41,2
1,42,1
1,43,0
1,44,2
1,45,1
1,46,0
1,47,2
1,48,1
1,49,0
2,0,2
2,1,1
2,2,0
2,3,2
2,4,1
2,5,0
2,6,2
2,7,1
2,8,0
2,9,2
2,10,1
2,11,0
2,12,2
2,13,0
2,14,1
2,15,2
2,16,0
2,17,1
2,18,2
2,19,1
2,20,0
2,21,2
2,22,1
2,23,0
2,24,2
2,25,1
2,26,0
2,27,2
2,28,1
2,29,2
2,30,0
2,31,1
2,32,2
2,33,0
2,34,1
2,35,2
2,36,0
2,37,1
2,38,2
2,39,0
2,40,1
2,41,2
2,42,0
2,43,1
2,44,2
2,45,0
2,46,2
2,47,1
2,48,0
2,49,2
3,0,1
3,1,0
3,2,2
3,3,1
3,4,0
3,5,2
3,6,1
3,7,0
3,8,2
3,9,1
3,10,0
3,11,2
3,12,1
3,13,0
3,14,2
3,15,0
3,16,1
3,17,2
3,18,0
3,19,1
3,20,0
3,21,2
3,22,1
3,23,0
3,24,2
3,25,1
3,26,2
3,27,0
3,28,1
3,29,2
3,30,0
3,31,1
3,32,2
3,33,0
3,34,1
3,35,2
3,36,0
3,37,2
3,38,1
3,39,2
3,40,0
3,41,1
3,42,2
3,43,0
3,44,2
3,45,1
3,46,0
3,47,2
3,48,1
3,49,0
4,0,2
4,1,1
4,2,0
4,3,3
4,4,2
4,5,1
4,6,0
4,7,3
4,8,1
4,9,2
4,10,3
4,11,0
4,12,1
4,13,2
4,14,3
4,15,0
4,16,1
4,17,3
4,18,2
4,19,0
4,20,3
4,21,1
4,22,2
4,23,0
4,24,3
4,25,1
4,26,3
4,27,2
4,28,0
4,29,1
4,30,3
4,31,0
4,32,2
4,33,1
4,34,3
4,35,0
4,36,2
4,37,1
4,38,3
4,39,0
4,40,2
4,41,1
4,42,3
4,43,0
4,44,1
4,45,2
4,46,3
4,47,0
4,48,1
4,49,2
5,0,3
5,1,0
5,2,1
5,3,2
5,4,3
5,5,0
5,6,1
5,7,2
5,8,3
5,9,0
5,10,1
5,11,2
5,12,3
5,13,0
5,14,1
5,15,2
5,16,3
5,17,0
5,18,1
5,19,2
5,20,3
5,21,0
5,22,1
5,23,2
5,24,3
5,25,0
5,26,2
5,27,1
5,28,0
5,29,3
5,30,2
5,31,1
5,32,3
5,33,0
5,34,2
5,35,1
5,36,3
5,37,2
5,38,0
5,39,1
5,40,0
5,41,3
5,42,2
5,43,1
5,44,0
5,45,3
5,46,2
5,47,1
5,48,0
5,49,3
6,0,1
6,1,2
6,2,0
6,3,3
6,4,1
6,5,2
6,6,0
6,7,1
6,8,3
6,9,2
6,10,0
6,11,1
6,12,3
6,13,2
6,14,1
6,15,0
6,16,3
6,17,2
6,18,1
6,19,0
6,20,3
6,21,2
6,22,1
6,23,3
6,24,0
6,25,2
6,26,1
6,27,3
6,28,0
6,29,2
6,30,1
6,31,3
6,32,0
6,33,2
6,34,1
6,35,3
6,36,0
6,37,2
6,38,1
6,39,3
6,40,2
6,41,0
6,42,1
6,43,3
6,44,2
6,45,0
6,46,1
6,47,3
6,48,2
6,49,0
7,0,1
7,1,2
7,2,3
7,3,0
7,4,3
7,5,1
7,6,2
7,7,0
7,8,3
7,9,1
7,10,2
7,11,0
7,12,3
7,13,1
7,14,2
7,15,0
7,16,3
7,17,1
7,18,2
7,19,0
7,20,3
7,21,1
7,22,2
7,23,0
7,24,3
7,25,1
7,26,2
7,27,0
7,28,3
7,29,1
7,30,2
7,31,3
7,32,0
7,33,1
7,34,2
7,35,3
7,36,0
7,37,2
7,38,1
7,39,3
7,40,0
7,41,2
7,42,1
7,43,3
7,44,0
7,45,2
7,46,1
7,47,3
7,48,0
7,49,2
8,0,1
8,1,3
8,2,0
8,3,2
8,4,1
8,5,3
8,6,0
8,7,2
8,8,1
8,9,3
8,10,0
8,11,2
8,12,1
8,13,3
8,14,0
8,15,2
8,16,1
8,17,3
8,18,0
8,19,1
8,20,2
8,21,3
8,22,0
8,23,1
8,24,2
8,25,3
8,26,0
8,27,1
8,28,2
8,29,3
8,30,0
8,31,1
8,32,2
8,33,3
8,34,0
8,35,1
8,36,3
8,37,2
8,38,0
8,39,1
8,40,3
8,41,2
8,42,0
8,43,1
8,44,3
8,45,0
8,46,2
8,47,3
8,48,1
8,49,0
9,0,2
9,1,1
9,2,3
9,3,0
9,4,2
9,5,1
9,6,3
9,7,0
9,8,2
9,9,1
9,10,3
9,11,0
9,12,2
9,13,1
9,14,3
9,15,0
9,16,2
9,17,1
9,18,3
9,19,0
9,20,2
9,21,1
9,22,3
9,23,0
9,24,2
9,25,1
9,26,3
9,27,0
9,28,2
9,29,1
9,30,3
9,31,2
9,32,0
9,33,1
9,34,3
9,35,2
9,36,0
9,37,1
9,38,3
9,39,2
9,40,0
9,41,1
9,42,3
9,43,2
9,44,0
9,45,1
9,46,3
9,47,0
9,48,2
9,49,1
10,0,3
10,1,0
10,2,2
10,3,1
10,4,3
10,5,0
10,6,2
10,7,1
10,8,3
10,9,0
10,10,2
10,11,3
10,12,1
10,13,0
10,14,2
10,15,1
10,16,3
10,17,0
10,18,2
10,19,1
10,20,3
10,21,0
10,22,2
10,23,1
10,24,3
10,25,0
10,26,2
10,27,1
10,28,3
10,29,0
10,30,2
10,31,1
10,32,3
10,33,0
10,34,2
10,35,1
10,36,3
10,37,0
10,38,2
10,39,1
10,40,3
10,41,0
10,42,2
10,43,1
10,44,3
10,45,0
10,46,2
10,47,3
10,48,1
10,49,0
11,0,3
11,1,2
11,2,1
11,3,0
11,4,2
11,5,3
11,6,1
11,7,2
11,8,0
11,9,3
11,10,2
11,11,1
11,12,0
11,13,2
11,14,3
11,15,1
11,16,2
11,17,0
11,18,3
11,19,1
11,20,2
11,21,0
11,22,3
11,23,1
11,24,2
11,25,0
11,26,3
11,27,1
11,28,3
11,29,2
11,30,0
11,31,1
11,32,3
11,33,2
11,34,0
11,35,1
11,36,3
11,37,2
11,38,0
11,39,1
11,40,3
11,41,2
11,42,0
11,43,1
11,44,3
11,45,2
11,46,0
11,47,1
11,48,2
11,49,3
12,0,0
12,1,1
12,2,2
12,3,3
12,4,0
12,5,1
12,6,2
12,7,3
12,8,0
12,9,2
12,10,1
12,11,3
12,12,0
12,13,2
12,14,1
12,15,3
12,16,0
12,17,2
12,18,1
12,19,3
12,20,0
12,21,2
12,22,1
12,23,3
12,24,0
12,25,2
12,26,3
12,27,1
12,28,0
12,29,2
12,30,3
12,31,1
12,32,0
12,33,3
12,34,2
12,35,1
12,36,0
12,37,3
12,38,2
12,39,1
12,40,0
12,41,3
12,42,2
12,43,1
12,44,0
12,45,3
12,46,2
12,47,1
12,48,0
12,49,3
13,0,2
13,1,1
13,2,3
13,3,0
13,4,2
13,5,1
13,6,3
13,7,0
13,8,3
13,9,1
13,10,2
13,11,0
13,12,3
13,13,1
13,14,2
13,15,0
13,16,3
13,17,1
13,18,2
13,19,0
13,20,3
13,21,1
13,22,2
13,23,0
13,24,3
13,25,1
13,26,2
13,27,0
13,28,3
13,29,1
13,30,2
13,31,0
13,32,3
13,33,2
13,34,1
13,35,0
13,36,2
13,37,3
13,38,1
13,39,2
13,40,0
13,41,3
13,42,2
13,43,1
13,44,0
13,45,3
13,46,2
13,47,0
13,48,1
13,49,2
14,0,3
14,1,1
14,2,0
14,3,2
14,4,3
14,5,1
14,6,3
14,7,0
14,8,2
14,9,1
14,10,3
14,11,2
14,12,0
14,13,1
14,14,3
14,15,2
14,16,0
14,17,1
14,18,3
14,19,2
14,20,0
14,21,1
14,22,3
14,23,2
14,24,0
14,25,1
14,26,3
14,27,2
14,28,0
14,29,1
14,30,3
14,31,2
14,32,0
14,33,3
14,34,1
14,35,0
14,36,2
14,37,3
14,38,1
14,39,2
14,40,0
14,41,3
14,42,1
14,43,2
14,44,0
14,45,3
14,46,1
14,47,2
14,48,3
14,49,0
15,0,1
15,1,2
15,2,3
15,3,0
15,4,1
15,5,2
15,6,3
15,7,0
15,8,1
15,9,2
15,10,3
15,11,0
15,12,1
15,13,2
15,14,3
15,15,0
15,16,1
15,17,3
15,18,2
15,19,0
15,20,2
15,21,3
15,22,1
15,23,0
15,24,2
15,25,3
15,26,1
15,27,0
15,28,3
15,29,2
15,30,1
15,31,3
15,32,0
15,33,2
15,34,3
15,35,1
15,36,0
15,37,3
15,38,2
15,39,1
15,40,0
15,41,3
15,42,2
15,43,1
15,44,0
15,45,3
15,46,2
15,47,1
15,48,3
15,49,0
16,0,2
16,1,1
16,2,3
16,3,0
16,4,2
16,5,1
16,6,3
16,7,0
16,8,2
16,9,1
16,10,3
16,11,0
16,12,2
16,13,1
16,14,3
16,15,2
16,16,0
16,17,1
16,18,3
16,19,2
16,20,0
16,21,1
16,22,3
16,23,2
16,24,0
16,25,1
16,26,3
16,27,2
16,28,0
16,29,1
16,30,2
16,31,3
16,32,0
16,33,1
16,34,2
16,35,3
16,36,0
16,37,1
16,38,2
16,39,3
16,40,0
16,41,1
16,42,2
16,43,3
16,44,0
16,45,1
16,46,2
16,47,3
16,48,0
16,49,1
17,0,2
17,1,3
17,2,1
17,3,0
17,4,2
17,5,3
17,6,1
17,7,0
17,8,2
17,9,3
17,10,1
17,11,0
17,12,3
17,13,2
17,14,1
17,15,0
17,16,3
17,17,2
17,18,1
17,19,0
17,20,3
17,21,2
17,22,1
17,23,0
17,24,3
17,25,2
17,26,1
17,27,0
17,28,3
17,29,2
17,30,1
17,31,0
17,32,3
17,33,2
17,34,1
17,35,0
17,36,3
17,37,1
17,38,2
17,39,0
17,40,3
17,41,1
17,42,2
17,43,0
17,44,3
17,45,1
17,46,2
17,47,3
17,48,0
17,49,1
18,0,2
18,1,3
18,2,0
18,3,1
18,4,2
18,5,3
18,6,0
18,7,1
18,8,2
18,9,3
18,10,0
18,11,2
18,12,1
18,13,3
18,14,0
18,15,2
18,16,3
18,17,1
18,18,0
18,19,2
18,20,3
18,21,1
18,22,0
18,23,2
18,24,3
18,25,1
18,26,0
18,27,2
18,28,3
18,29,1
18,30,0
18,31,2
18,32,3
18,33,1
18,34,0
18,35,2
18,36,3
18,37,1
18,38,0
18,39,2
18,40,3
18,41,1
18,42,0
18,43,2
18,44,3
18,45,0
18,46,1
18,47,3
18,48,2
18,49,0
19,0,1
19,1,3
19,2,2
19,3,0
19,4,1
19,5,3
19,6,2
19,7,0
19,8,1
19,9,3
19,10,2
19,11,0
19,12,1
19,13,3
19,14,2
19,15,0
19,16,1
19,17,3
19,18,2
19,19,0
19,20,1
19,21,3
19,22,2
19,23,0
19,24,1
19,25,2
19,26,3
19,27,0
19,28,1
19,29,3
19,30,2
19,31,0
19,32,1
19,33,3
19,34,2
19,35,0
19,36,1
19,37,3
19,38,2
19,39,0
19,40,1
19,41,3
19,42,0
19,43,2
19,44,1
19,45,3
19,46,0
19,47,2
19,48,1
19,49,3
20,0,0
20,1,2
20,2,1
20,3,3
20,4,0
20,5,2
20,6,1
20,7,3
20,8,0
20,9,2
20,10,1
20,11,3
20,12,2
20,13,0
20,14,1
20,15,3
20,16,2
20,17,0
20,18,1
20,19,3
20,20,2
20,21,0
20,22,1
20,23,2
20,24,3
20,25,0
20,26,3
20,27,1
20,28,2
20,29,3
20,30,0
20,31,1
20,32,2
20,33,3
20,34,0
20,35,1
20,36,3
20,37,2
20,38,0
20,39,1
20,40,3
20,41,2
20,42,0
20,43,3
20,44,1
20,45,2
20,46,0
20,47,3
20,48,1
20,49,2
21,0,0
21,1,3
21,2,2
21,3,1
21,4,0
21,5,3
21,6,2
21,7,1
21,8,0
21,9,2
21,10,3
21,11,1
21,12,0
21,13,2
21,14,3
21,15,1
21,16,0
21,17,2
21,18,3
21,19,1
21,20,0
21,21,2
21,22,3
21,23,1
21,24,3
21,25,0
21,26,2
21,27,1
21,28,3
21,29,0
21,30,2
21,31,1
21,32,3
21,33,0
21,34,2
21,35,1
21,36,3
21,37,0
21,38,2
21,39,1
21,40,3
21,41,0
21,42,2
21,43,1
21,44,3
21,45,0
21,46,2
21,47,1
21,48,3
21,49,0
22,0,2
22,1,1
22,2,3
22,3,0
22,4,2
22,5,1
22,6,3
22,7,0
22,8,2
22,9,1
22,10,3
22,11,0
22,12,2
22,13,1
22,14,3
22,15,0
22,16,1
22,17,2
22,18,3
22,19,0
22,20,1
22,21,3
22,22,2
22,23,0
22,24,1
22,25,3
22,26,2
22,27,0
22,28,1
22,29,3
22,30,2
22,31,0
22,32,1
22,33,3
22,34,2
22,35,0
22,36,1
22,37,3
22,38,2
22,39,0
22,40,1
22,41,3
22,42,2
22,43,0
22,44,3
22,45,1
22,46,2
22,47,0
22,48,3
22,49,1
23,0,2
23,1,0
23,2,3
23,3,1
23,4,3
23,5,2
23,6,0
23,7,1
23,8,3
23,9,2
23,10,0
23,11,1
23,12,3
23,13,2
23,14,0
23,15,1
23,16,3
23,17,2
23,18,0
23,19,1
23,20,3
23,21,0
23,22,2
23,23,3
23,24,1
23,25,0
23,26,2
23,27,3
23,28,1
23,29,2
23,30,0
23,31,3
23,32,1
23,33,2
23,34,0
23,35,3
23,36,1
23,37,2
23,38,0
23,39,3
23,40,1
23,41,2
23,42,0
23,43,3
23,44,1
23,45,2
23,46,0
23,47,3
23,48,2
23,49,1
24,0,0
24,1,3
24,2,2
24,3,1
24,4,3
24,5,0
24,6,2
24,7,1
24,8,3
24,9,0
24,10,2
24,11,1
24,12,3
24,13,2
24,14,0
24,15,1
24,16,3
24,17,2
24,18,0
24,19,3
24,20,1
24,21,2
24,22,0
24,23,3
24,24,1
24,25,2
24,26,3
24,27,0
24,28,1
24,29,2
24,30,3
24,31,0
24,32,1
24,33,3
24,34,2
24,35,0
24,36,3
24,37,1
24,38,2
24,39,3
24,40,0
24,41,1
24,42,2
24,43,3
24,44,0
24,45,1
24,46,2
24,47,3
24,48,0
24,49,1
25,0,2
25,1,3
25,2,0
25,3,1
25,4,2
25,5,3
25,6,0
25,7,1
25,8,2
25,9,3
25,10,0
25,11,1
25,12,2
25,13,3
25,14,0
25,15,1
25,16,2
25,17,3
25,18,0
25,19,2
25,20,1
25,21,3
25,22,0
25,23,2
25,24,1
25,25,3
25,26,0
25,27,2
25,28,1
25,29,3
25,30,0
